"","id","gender","age","education","district","mth_income","voted_for","satisfaction","support_incumbent"
"1",1,"Female",49.6413729246706,"High School","Central",9971537.29608029,0,"Very Low","Likely"
"2",2,"Female",54.6000165105797,"High School","Central",10343161.315092,0,"Medium","Very Unlikely"
"3",3,"Male",53.5879011843354,"University","West",16271702.0809645,1,"Medium","Very Unlikely"
"4",4,"Female",30.4482376254164,"University","Southeast",13977056.6246954,1,"Medium","Very Unlikely"
"5",5,"Male",63.6363323451951,"University","North",16867396.8528792,0,"Very High","Indifferent"
"6",6,"Female",36.7183826011606,"University","Central",14726268.9586152,0,"High","Very Unlikely"
"7",7,"Male",57.3167670452967,"High School","North",10521877.1354088,0,"Medium","Indifferent"
"8",8,"Female",59.7609898848459,"High School","Central",10666144.1838785,1,"Very High","Very Unlikely"
"9",9,"Male",25.3391113625839,"University","West",13297179.7258007,1,"Low","Unlikely"
"10",10,"Male",43.5436400440522,"Postgraduate","North",25432304.6329779,1,"Medium","Unlikely"
"11",11,"Male",39.6733379350044,"High School","North",9045688.35721679,0,"Medium","Indifferent"
"12",12,"Female",46.2508670869283,"University","Central",15683260.5747313,1,"High","Likely"
"13",13,"Female",43.1244242223911,"High School","Southeast",9394091.88507996,0,"Medium","Indifferent"
"14",14,"Male",26.8892965996638,"High School","North",7510568.27657652,1,"High","Indifferent"
"15",15,"Female",37.4781676824205,"University","Central",14809669.2292764,1,"Medium","Indifferent"
"16",16,"Female",41.3091360665858,"University","North",15213787.2048296,1,"Medium","Unlikely"
"17",17,"Female",29.3077367777005,"Postgraduate","North",23831837.5822203,1,"High","Indifferent"
"18",18,"Male",29.8463857062161,"Doctorate","Southeast",37900748.0730139,1,"High","Unlikely"
"19",19,"Male",51.4808736830018,"High School","Central",10115252.6482834,0,"Medium","Unlikely"
"20",20,"Male",43.111739079468,"High School","North",9392342.64785037,1,"Medium","Unlikely"
"21",21,"Male",59.7969486224465,"Postgraduate","West",26667747.7488966,1,"High","Very Unlikely"
"22",22,"Male",48.6073142550886,"High School","Central",9885380.38540234,0,"Very Low","Unlikely"
"23",23,"Male",44.3217715397477,"University","Central",15507731.9942824,0,"Low","Unlikely"
"24",24,"Male",44.1138954209164,"High School","West",9487613.61134083,1,"Very High","Unlikely"
"25",25,"Male",37.2158386623487,"University","Central",14781412.3656006,0,"Low","Unlikely"
"26",26,"Male",57.7363569485024,"University","North",16545641.8518588,0,"Low","Likely"
"27",27,"Female",31.5667902110144,"University","Central",14118110.8515222,0,"Very Low","Indifferent"
"28",28,"Male",35.5999007364735,"University","West",14598743.2910981,0,"High","Unlikely"
"29",29,"Male",45.3322752565145,"University","Central",15600585.5732,0,"Medium","Very Unlikely"
"30",30,"Male",55.0500983819366,"High School","Southeast",10373424.5238142,1,"High","Unlikely"
"31",31,"Male",61.4857407724485,"University","Central",16759702.5591442,1,"Very High","Indifferent"
"32",32,"Male",31.7798769511282,"University","Central",14143838.4873675,1,"Very High","Indifferent"
"33",33,"Male",35.294749119319,"High School","Southeast",8563605.32230846,0,"Low","Indifferent"
"34",34,"Female",64.0469759260304,"University","West",16886234.853099,0,"Very Low","Unlikely"
"35",35,"Male",43.0436885966919,"University","North",15385036.8261358,1,"Medium","Indifferent"
"36",36,"Female",38.021637132857,"High School","North",8870507.14119905,1,"High","Indifferent"
"37",37,"Male",64.6333041163161,"High School","Central",10912653.6551749,0,"Low","Indifferent"
"38",38,"Female",63.3974782573059,"University","North",16855515.6892625,0,"Medium","Very Unlikely"
"39",39,"Female",45.2066650222987,"University","Central",15588101.4399266,0,"Medium","Unlikely"
"40",40,"Female",56.0353426760994,"University","Central",16440235.880765,0,"Very Low","Very Unlikely"
"41",41,"Male",53.5801521595567,"Doctorate","Central",40270243.6302022,1,"Medium","Very Unlikely"
"42",42,"Male",45.124422959052,"Doctorate","North",39581776.0320194,1,"High","Unlikely"
"43",43,"Male",63.3938121818937,"University","Central",16855873.9439096,1,"Medium","Unlikely"
"44",44,"Male",50.758343511261,"University","North",16059645.1279786,0,"Medium","Indifferent"
"45",45,"Male",61.3468360924162,"High School","Southeast",10752867.4268331,0,"Medium","Indifferent"
"46",46,"Male",57.1352596660145,"High School","Central",10509837.5962794,1,"Medium","Unlikely"
"47",47,"Male",29.3784187003039,"University","Central",13840556.206163,1,"High","Very Unlikely"
"48",48,"Male",54.7439699713141,"University","Central",16353630.7873441,0,"Low","Indifferent"
"49",49,"Female",24.8914037463255,"University","Central",13234104.2809289,1,"Low","Likely"
"50",50,"Male",52.7528597344644,"Doctorate","Central",40210711.6443265,1,"Very High","Unlikely"
"51",51,"Female",25.2115384372883,"University","North",13279342.7519102,0,"Very Low","Very Likely"
"52",52,"Male",43.7731719580479,"High School","Southeast",9456403.450782,0,"Medium","Very Unlikely"
"53",53,"Male",45.8828201717697,"Postgraduate","Southeast",25650144.1229137,1,"High","Indifferent"
"54",54,"Male",58.6810422819108,"University","North",16604262.8602674,0,"High","Unlikely"
"55",55,"Male",30.4318952178583,"University","North",13974712.8413636,1,"Medium","Very Unlikely"
"56",56,"Male",44.2444657804444,"University","Central",15499604.8498527,1,"Low","Unlikely"
"57",57,"Male",36.5159953422844,"University","Central",14703302.5952272,1,"High","Indifferent"
"58",58,"Male",50.366173626855,"Postgraduate","North",26030268.1590047,1,"Very High","Unlikely"
"59",59,"Male",43.0893268678337,"High School","Central",9390418.27439668,0,"Very Low","Unlikely"
"60",60,"Male",56.0344580095261,"University","North",16439372.3624936,1,"Very High","Unlikely"
"61",61,"Female",31.8301005228423,"University","Southeast",14150448.6407307,1,"Medium","Indifferent"
"62",62,"Male",23.1392637803219,"High School","Central",6983489.81111432,0,"Very Low","Very Unlikely"
"63",63,"Male",60.631183587946,"University","North",16714986.3224781,1,"Very Low","Very Unlikely"
"64",64,"Female",24.1822385652922,"Postgraduate","North",23134450.9683449,1,"Very High","Indifferent"
"65",65,"Male",49.0612814249471,"Doctorate","Central",39924280.3957078,1,"Very High","Unlikely"
"66",66,"Male",46.0027421838604,"Postgraduate","Central",25661593.6389589,0,"Low","Indifferent"
