"","drivers","age","gender","income","work_hours","distance","bonus","satisfaction","leaving"
"1",0,29,1,367692,6,46,103266,2,2
"2",0,35,1,303051,8,104,10223,3,2
"3",0,32,1,247886,6,116,66807,3,3
"4",0,28,0,305879,8,79,13253,4,5
"5",0,28,0,343674,7,65,10000,3,4
"6",1,32,1,288470,11,76,30621,2,2
"7",0,32,1,288730,8,123,66896,3,2
"8",1,33,0,376885,10,106,16263,4,4
"9",1,28,0,363462,8,93,15687,2,1
"10",1,32,0,400615,9,80,16957,3,3
"11",1,30,1,330701,10,118,10000,5,3
"12",0,30,1,321880,10,74,10000,2,4
"13",0,33,1,347514,8,94,12185,3,4
"14",0,30,1,235555,8,116,41283,4,4
"15",0,33,1,308206,7,92,19173,5,5
"16",0,28,1,276600,10,116,15332,3,4
"17",1,28,0,332618,9,68,14250,3,2
"18",1,33,1,200989,10,87,15111,3,4
"19",1,30,1,378533,10,80,10000,1,4
"20",0,28,1,308466,8,66,10000,4,4
"21",1,28,1,321383,10,91,21093,4,3
"22",1,35,1,377427,10,68,30701,4,1
"23",0,32,1,296164,9,61,42304,4,5
"24",0,31,1,315710,9,52,66111,4,3
"25",0,32,1,189350,8,90,38643,3,3
"26",1,30,1,297952,11,80,25635,5,4
"27",1,30,1,414501,11,94,20221,5,2
"28",1,29,1,309590,9,72,27140,1,3
"29",0,32,0,274397,7,66,68590,3,1
"30",1,30,1,454910,9,59,23958,3,5
"31",0,32,1,325550,8,66,39395,4,4
"32",1,33,1,415918,9,52,27018,2,3
"33",0,32,1,296874,8,84,53177,4,1
"34",0,29,1,317207,9,93,10000,4,3
"35",1,32,1,276054,9,32,15516,4,4
"36",0,34,1,289860,9,122,36898,5,5
"37",0,33,1,259665,9,69,29122,2,3
"38",0,29,0,203723,6,73,27443,1,1
"39",1,33,0,315795,9,81,23903,3,3
"40",1,31,1,270646,10,80,10000,1,1
"41",0,32,1,267574,7,138,35879,5,4
"42",0,31,1,302393,9,70,25536,4,4
"43",0,32,0,286650,8,122,11698,3,5
"44",0,32,1,275628,11,104,57255,4,1
"45",0,30,1,318696,8,80,24523,4,4
"46",0,32,1,280152,8,48,26023,4,4
"47",1,29,0,319085,9,96,10923,3,4
"48",1,28,0,270534,10,68,27580,1,3
"49",0,32,1,263068,8,81,43174,3,3
"50",1,32,0,332984,8,58,16108,3,4
"51",0,29,1,374090,9,72,50577,3,5
"52",1,31,1,358491,8,98,10000,5,5
"53",0,30,1,277898,10,55,56151,4,1
"54",0,30,1,259888,10,104,51494,4,4
"55",1,31,1,372096,9,87,29033,3,4
"56",1,32,0,411397,8,104,16528,1,3
"57",1,35,1,291142,8,64,20531,1,4
"58",1,30,1,379283,8,84,17124,1,2
"59",0,36,1,361820,9,74,10000,2,3
"60",0,30,1,285719,8,10,77143,4,4
"61",1,30,0,299581,7,91,14861,1,3
"62",0,33,1,208323,7,117,51689,3,4
"63",1,29,1,335197,9,86,40353,2,3
"64",1,30,1,275837,10,97,24736,3,4
"65",0,30,1,319505,10,45,24058,3,5
"66",0,33,1,251820,6,101,43906,3,1
"67",0,28,0,288923,10,64,61846,3,4
"68",1,30,0,341976,9,92,10000,2,3
"69",0,29,1,307244,6,86,21486,4,2
"70",0,37,1,192530,7,86,55084,4,5
"71",0,31,0,331886,8,84,60115,3,4
"72",1,29,1,411195,8,62,25782,5,4
"73",1,28,1,295400,11,58,16395,3,3
"74",0,31,1,319257,9,90,22913,2,3
"75",1,32,1,358409,8,99,31476,1,2
"76",0,35,1,295306,9,48,63391,4,4
"77",1,29,1,422095,13,107,15051,5,3
"78",0,33,1,324833,9,74,37945,4,4
"79",0,30,1,239647,8,144,10000,4,4
"80",1,31,1,297380,11,81,29203,4,1
"81",1,28,1,288832,9,98,33563,1,2
"82",0,31,0,349726,9,78,12549,3,4
"83",1,28,1,411781,9,79,39199,5,5
"84",0,29,1,327762,10,99,37928,3,3
