"","id","education","gender","age","rural","internet_acc","workers","dist_to_market","mth_income"
"1",1,2,1,57.0585077959113,1,3,12,6,42749498.7130227
"2",2,1,1,55.7787667317316,1,2,17,15,33846698.1379089
"3",3,1,0,58.8539976105094,1,1,12,11,30100251.6838844
"4",4,2,1,45.7736331105698,1,2,12,14,45904531.4859073
"5",5,1,0,46.7227498933207,0,3,10,12,43168128.471853
"6",6,1,0,50.4519611683208,1,1,21,14,34692481.6758524
"7",7,2,1,60.6271335221827,1,1,9,12,38720402.3501904
"8",8,2,0,33.3277628503274,0,1,14,8,51142866.6917816
"9",9,1,0,31.8201248564292,0,3,16,15,57775759.9299958
"10",10,4,1,22.3080368139781,0,3,18,10,77278232.0889689
"11",11,2,1,19.4273612420075,0,1,14,6,58704399.8892658
"12",12,2,0,42.820764904609,0,1,14,8,50010778.9412406
"13",13,1,1,52.0457702765707,0,1,17,13,41748803.9816246
"14",14,2,0,48.2759289683308,0,1,12,24,48630115.1207457
"15",15,2,1,36.8301222187001,0,3,12,12,64689128.8262576
"16",16,2,0,25.4895183180925,0,1,8,9,66018125.4897766
"17",17,2,1,32.7055619286839,1,3,10,12,52508021.5520103
"18",18,1,1,52.5721497791819,1,1,15,19,27350040.0430451
"19",19,1,1,22.9821523462888,1,1,11,18,29003711.3686925
"20",20,3,1,22.1854338999838,1,3,11,9,52270336.435194
"21",21,1,1,20.1301408826839,1,2,13,16,51665186.129383
"22",22,3,1,59.0353955780156,1,3,16,19,45561983.4276553
"23",23,1,1,24.2263933913782,0,2,14,8,29914397.6713454
"24",24,2,0,52.790066918591,0,1,17,13,50124781.1397316
"25",25,1,1,49.1710854661651,1,1,10,22,21758905.0434122
"26",26,1,1,44.8484215163626,0,2,19,13,47329334.6047493
"27",27,1,0,36.6767483705189,1,1,18,15,42173681.8042826
"28",28,2,1,26.7310430139769,0,1,16,14,35152243.0715134
"29",29,1,1,56.8187998926733,0,3,13,17,39065664.9934987
"30",30,1,1,27.7592873373069,0,1,18,14,57250118.2752258
"31",31,1,0,40.1660211624112,1,3,12,7,39296148.8840288
"32",32,1,1,30.688105775509,1,1,16,13,34142123.4552341
"33",33,4,0,33.9251109343022,0,1,17,9,69806525.1043427
"34",34,1,0,35.898854786763,1,1,13,13,37151289.6872202
"35",35,1,1,30.977180817863,1,2,17,9,44265914.0584236
"36",36,2,0,60.8594341159333,0,1,11,12,49865935.288102
"37",37,2,0,54.365554753691,1,1,16,9,46638491.6080219
"38",38,2,0,54.2643252250273,1,3,18,10,49033171.7319275
"39",39,2,0,46.5512736581732,0,2,14,18,39118718.9944992
"40",40,2,1,54.4198830693495,0,1,14,17,45388154.9526993
"41",41,3,1,27.6538161141798,0,3,9,7,62609832.7236481
"42",42,3,0,38.2634932608344,0,1,9,9,58423743.76562
"43",43,2,1,21.8410183573142,1,1,12,14,45197100.5517157
"44",44,1,1,21.7270877033006,0,1,15,8,46930559.246744
"45",45,1,1,56.9485252227169,1,3,17,14,46172298.1388374
"46",46,3,1,28.216812022496,1,2,17,14,61366148.0622991
"47",47,1,1,19.5486140658613,1,1,14,11,41044661.8634102
"48",48,2,0,23.2688301829621,1,3,13,9,53839085.1159697
"49",49,1,0,60.0888524700422,0,2,10,16,32045490.8935744
"50",50,2,0,43.195326770423,1,1,18,12,45990035.8501035
"51",51,1,0,41.0387101543602,0,1,11,15,39287473.700038
"52",52,1,1,45.022606942337,0,1,10,14,41523314.7322352
"53",53,2,0,27.2694931440055,1,2,14,11,59253880.3363202
"54",54,2,0,21.4205969276372,1,1,15,15,46249763.8511162
"55",55,1,1,46.9565811185166,1,2,21,14,43021482.8443369
"56",56,2,1,36.5053382627666,1,3,11,16,66320074.444477
"57",57,1,1,52.6857464623172,1,2,14,15,42474907.0925827
"58",58,3,1,58.2305120152887,0,2,12,13,56002339.5521636
"59",59,2,0,26.2054802973289,0,3,11,11,50109432.2217695
"60",60,2,1,32.6976468248758,1,1,17,14,48329109.9702218
"61",61,1,0,61.3012072055135,0,2,18,12,32567009.8412438
"62",62,2,0,39.4951403259765,1,3,18,8,48419886.5494212
"63",63,4,1,19.5512665302958,0,1,19,12,74636176.8532658
"64",64,1,0,27.6586769632995,0,1,16,10,46704465.8881936
"65",65,1,1,53.0209031985141,1,1,14,19,44763627.8827453
"66",66,2,1,55.2831852249801,1,1,15,11,39326546.6438664
"67",67,1,0,21.6368676100392,0,2,13,13,51417087.9928661
"68",68,2,0,32.9990999544971,1,1,18,8,46920357.9730929
"69",69,3,1,48.7844145980198,0,1,14,9,50561215.6977074
"70",70,3,1,59.4974873485044,0,1,7,12,38860570.5918306
"71",71,1,1,60.136722657131,0,2,19,15,34916127.485142
"72",72,1,1,38.6079832306132,0,2,17,11,55019896.3600737
"73",73,3,1,34.1901329851244,0,1,11,14,68509497.1319512
"74",74,2,0,34.0731860008091,0,3,12,12,65295394.6461713
"75",75,1,0,56.9504177176859,0,1,10,13,41550993.3573662
"76",76,4,0,37.7086336351931,1,3,13,12,72748170.521053
"77",77,2,1,57.4461569290143,0,3,13,9,49981536.0292943
"78",78,4,1,41.2936162054539,0,2,9,9,74641746.6955657
"79",79,2,1,41.4503237553872,1,2,15,10,49058829.3391987
"80",80,3,0,51.2611297562253,0,3,12,8,57090199.6301567
"81",81,1,1,38.2857076204382,0,1,15,18,41443533.8624199
"82",82,2,1,50.31031081127,1,1,9,13,32896077.5232854
"83",83,3,0,43.1880918126553,1,3,16,13,47032417.9956804
"84",84,2,1,56.470895556733,0,3,14,9,46233135.4202886
"85",85,2,1,28.9649111949839,1,1,11,17,56179641.9664689
"86",86,2,1,32.2611454252619,0,3,12,11,49773900.1498668
"87",87,1,1,36.4745487868786,1,1,18,10,43929586.113992
"88",88,2,1,53.7164279881399,1,3,18,15,54115919.146359
"89",89,2,0,41.4680341735948,0,3,12,15,53469143.4547342
"90",90,1,1,27.1665962438565,1,1,17,10,39004772.4847604
"91",91,2,0,22.4687658906914,1,3,11,11,50032247.9451498
"92",92,1,1,31.1688186500687,0,1,19,15,51091139.0520035
"93",93,2,0,50.5664453702047,1,2,15,7,29133126.697724
"94",94,2,1,40.9373469592538,0,2,15,12,54064760.8740755
"95",95,1,1,42.3140258090571,1,3,23,14,53338648.079707
"96",96,2,1,51.9105132222176,0,3,16,12,63502846.3675442
"97",97,2,1,19.1661606037524,0,3,12,13,55253106.0576582
"98",98,2,1,24.2489852528088,0,3,15,16,70006823.7889858
"99",99,1,1,47.0329886956606,1,1,18,19,45420548.487661
"100",100,3,0,37.9677957675885,0,3,10,16,59474405.0282828
"101",101,2,0,34.1314742912073,0,2,13,12,64881330.5632078
"102",102,4,1,28.6734690021258,0,1,14,9,75375824.3584712
"103",103,1,1,20.314984833356,1,3,14,14,54938373.6725836
"104",104,2,0,45.6319532790221,0,1,8,11,39518208.8474664
"105",105,2,1,27.5314904747065,1,2,9,7,45271565.7355947
"106",106,1,0,58.0405466405209,1,1,13,10,26637778.6114605
"107",107,2,0,53.0838712560944,1,3,19,12,46063899.954745
"108",108,1,1,22.2852458495181,1,3,14,10,33140908.0256704
"109",109,4,1,58.5998042435385,0,2,16,10,61861952.0585636
"110",110,2,1,51.2570037671831,1,1,12,14,54977560.4522819
"111",111,2,0,60.6354568237439,0,2,9,18,49751573.3954994
"112",112,1,0,61.507300326135,0,3,13,9,40878895.9390761
"113",113,1,0,35.1332580551971,1,2,11,9,42451224.2915928
"114",114,3,1,39.1464589005336,0,2,15,14,67610290.4670014
"115",115,2,1,48.8113778256811,0,3,10,9,44510699.6191234
"116",116,2,1,24.6061170585454,0,1,9,10,36339981.5313705
"117",117,1,1,34.115610544337,0,2,14,9,44600539.2717441
"118",118,2,1,57.132132826373,0,1,9,8,49700083.122562
"119",119,1,0,57.4923809794709,1,2,13,14,27363881.2536617
"120",120,2,1,54.5201616450213,1,3,13,11,37358089.4336237
"121",121,4,1,58.6120599475689,1,2,10,9,52937803.0149657
"122",122,3,1,37.3054727171548,0,1,14,11,59365556.6668078
"123",123,1,1,49.5272347819991,1,3,15,10,43419221.4888813
"124",124,2,1,25.7498092115857,1,2,11,20,42058086.6041776
"125",125,2,1,19.8544943069573,0,3,14,9,51224678.0165068
"126",126,1,0,57.8519122835714,1,2,14,11,32348300.4797431
"127",127,4,0,33.7723358869553,0,1,15,11,60978064.5426173
"128",128,2,0,39.7538093912881,1,1,13,16,41810599.4531047
"129",129,1,1,41.0143280776683,1,1,10,21,23094288.5543948
"130",130,2,0,21.7374469677452,0,2,17,14,61497930.2467697
"131",131,3,1,30.9575360056479,0,1,12,12,46662079.9897904
"132",132,1,1,36.5570555224549,0,3,9,14,47108665.205938
"133",133,2,0,45.4196057883091,1,1,12,15,40048483.639607
"134",134,2,1,28.2654441713821,1,2,14,12,53274383.6018759
"135",135,4,1,26.1016242946498,1,1,13,10,58652188.0165874
"136",136,1,1,54.6550948303193,1,1,11,11,36144253.1175553
"137",137,2,0,27.4177999617532,1,2,13,8,52925300.7210747
"138",138,2,1,24.2912234382238,0,1,14,11,49450124.421994
"139",139,2,1,45.4084953747224,0,1,16,13,57786858.9911544
"140",140,1,1,47.6814648096915,0,3,17,15,54159040.1703791
"141",141,2,1,32.4965759522747,1,1,12,10,46110220.7813576
"142",142,4,0,30.7061266070232,1,3,15,18,79421744.9357041
"143",143,4,1,23.1649990493897,1,1,13,17,55983977.7522346
"144",144,2,0,59.9479089302476,1,1,14,15,29274634.5993612
"145",145,2,1,27.7947721385863,0,1,23,11,49325432.6031038
"146",146,2,1,47.6435399425682,0,3,11,13,47909901.0453922
"147",147,4,0,21.3629513895139,0,3,15,14,81103758.2553448
"148",148,1,1,58.1740001640283,0,3,17,12,42524209.9532452
"149",149,2,0,30.3490574746393,1,1,17,13,50726908.7355682
"150",150,1,1,36.0332519046497,1,2,11,8,40581457.3780285
"151",151,2,0,43.8835141323507,1,1,11,21,39262081.4085116
"152",152,2,0,45.7900070245378,0,3,14,19,49875165.4680409
"153",153,2,0,57.5777903823182,1,2,14,16,49438351.7689361
"154",154,1,0,27.5327896352392,0,2,12,8,41038064.131868
"155",155,1,0,46.2472610829864,1,3,10,16,35003827.2920181
"156",156,2,1,37.3175741506275,1,2,17,5,51934549.1351719
"157",157,2,0,46.7683909514453,0,2,10,15,43118749.269839
"158",158,2,1,53.9690074161626,1,1,13,7,48111311.5931047
"159",159,2,0,52.9057310114149,1,1,13,12,48965251.3676583
"160",160,1,1,60.3432205715217,1,2,11,13,33617034.5217174
"161",161,1,1,41.4066050371621,1,1,15,9,37246941.9899435
"162",162,1,0,26.0281525435857,0,1,17,15,46582049.0324743
"163",163,1,1,43.1371350931004,1,3,17,11,39922570.4500175
"164",164,1,0,50.6104287581984,1,1,12,12,32245176.6448145
"165",165,2,0,23.4263580229599,0,2,13,11,52318492.3427144
"166",166,1,0,43.965504613705,0,1,15,12,32519324.2396686
"167",167,1,1,39.1412909920327,0,1,15,10,51793025.5430547
"168",168,1,1,33.4300954199862,1,1,14,14,50730338.7062358
"169",169,4,1,34.3393382944632,0,3,21,12,66969445.4025413
"170",170,2,1,47.5841160831042,0,1,13,16,45935577.7692426
"171",171,2,1,35.6617606927175,1,1,15,12,56432087.5192169
"172",172,4,1,29.9389716617297,0,3,9,9,71312786.2244834
"173",173,3,1,44.7881500048097,1,3,8,8,48582897.5450792
"174",174,2,1,40.0933037041686,0,1,6,15,54236487.3915312
"175",175,2,1,34.2327202591114,0,2,9,12,54122124.9771593
"176",176,3,1,44.7157814349048,1,1,11,8,60761498.2359303
"177",177,1,1,38.6523937284946,0,1,12,11,41241823.9716546
"178",178,2,0,36.3377104017418,1,1,9,9,48982299.76427
"179",179,2,0,61.8749486904126,0,2,11,14,34831954.9038951
"180",180,1,1,20.0302894769702,1,1,17,8,38483206.0130924
"181",181,2,0,45.4355545246508,1,3,13,11,50340311.6529346
"182",182,2,1,44.9035603206139,0,1,12,11,61199225.1969377
"183",183,4,0,43.6539922307711,0,3,17,13,67755079.9898441
"184",184,1,0,54.6114432706963,0,3,15,15,42759713.1041606
"185",185,1,1,31.6836734842509,1,1,17,9,33563969.5975239
"186",186,3,1,29.4648177037016,0,3,9,13,70486078.2924107
"187",187,3,1,54.4413908920251,0,1,13,11,52944036.2858835
"188",188,3,0,52.0165291228332,0,1,16,13,51809130.9259596
"189",189,1,0,48.6286473586224,1,1,18,9,37659970.3605963
"190",190,1,1,49.4827666967176,1,2,11,16,35221435.3283725
"191",191,2,1,59.6337553460617,0,3,9,12,48167514.4461505
"192",192,2,0,57.5276526312809,0,1,19,9,46630345.1718721
"193",193,2,1,61.015251413919,0,2,20,17,46712916.5265219
"194",194,2,1,51.2069394420832,0,1,14,12,63738232.157684
"195",195,3,1,28.3549537730869,0,3,16,15,69731123.258887
"196",196,3,1,28.5670608724467,0,1,16,10,60635156.4927413
"197",197,1,0,33.4681125651114,0,3,15,11,56517066.6539824
"198",198,1,0,25.9087118706666,1,2,16,13,37246639.0635724
"199",199,4,1,22.0992730376311,0,3,14,10,68854258.0779905
"200",200,2,1,54.8031886087265,0,2,15,10,55307136.1976037
"201",201,2,0,60.8226260659285,1,3,19,10,42975177.3307887
"202",202,2,0,51.9849022969138,1,3,14,14,42126834.0263658
"203",203,2,0,19.2988284076564,0,1,10,14,49140094.3537883
"204",204,1,0,47.8229111179244,1,2,14,9,41737372.3624931
"205",205,2,1,56.1313709984533,0,3,13,8,43894642.9625276
"206",206,2,1,34.7061524423771,0,3,11,8,63216170.5840246
