"","id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
"1",28485500,"Brownstone Garden Style Apt in Historic Bedstuy",73538984,"Kesha","Brooklyn","Bedford-Stuyvesant",40.68618,-73.94367,"Entire home/apt",155,2,12,"2018-11-24",1.25,1,0
"2",706347,"HISTORIC WILLIAMSBURG, BKLYN #2",839679,"Brady","Brooklyn","Williamsburg",40.71796,-73.95439,"Private room",69,3,2,"2013-05-06",0.03,3,284
"3",30489218,"Gorgeous 1-bedroom apt in Williamsburg, Brooklyn",59026607,"Anuj","Brooklyn","Williamsburg",40.70392,-73.94885,"Entire home/apt",72,3,7,"2019-05-16",1.26,1,0
"4",24116969,"Paradise - comfortable, spacious loft apartment",162290659,"Ari","Manhattan","Chinatown",40.71396,-73.99771,"Entire home/apt",148,2,3,"2019-06-08",0.21,1,5
"5",10123090,"Midtown Manhattan steps from 5thAve",51948055,"Yvonne","Manhattan","Midtown",40.76372,-73.97692,"Entire home/apt",500,29,5,"2016-09-26",0.13,1,88
"6",13919213,"Spacious Harlem Garden Apartment",82623035,"Alex And Maya","Manhattan","Harlem",40.82611,-73.94407,"Entire home/apt",155,2,138,"2019-06-23",3.79,1,232
"7",30427406,"Cozy Room for the Holidays in the Heart of Astoria",166794407,"Bruna","Queens","Astoria",40.76677,-73.91169,"Shared room",55,5,0,"",NA,3,83
"8",784124,"New Flat, Great Light,  Unique Brooklyn Bungalow",3483450,"Aswad","Brooklyn","Bedford-Stuyvesant",40.68176,-73.914,"Entire home/apt",149,2,67,"2019-07-06",0.88,3,329
"9",16568191,"Large 1 room with bed in the heart of manhathan",109141116,"Adil","Manhattan","Murray Hill",40.74604,-73.97495,"Private room",80,7,0,"",NA,1,0
"10",3644037,"Bright & Modern Apt. in Brooklyn NY",14945045,"Anna","Brooklyn","Bay Ridge",40.63777,-74.02497,"Entire home/apt",95,3,2,"2015-08-23",0.03,1,0
"11",32637632,"Charming 1BR in a Modern Harlem Townhouse",2603586,"Joseph","Manhattan","Harlem",40.80761,-73.94305,"Private room",150,2,0,"",NA,1,6
"12",5152230,"Convenience & Chill",26640253,"Rachel","Manhattan","Harlem",40.82383,-73.94639,"Private room",65,1,61,"2019-04-24",1.16,1,323
"13",27363157,"Large, Sunny West Village 1 Bedroom",26278289,"Erika","Manhattan","Greenwich Village",40.72862,-74.00054,"Entire home/apt",300,4,0,"",NA,1,188
